"Place of origins"
"Egypt"
"Cos"
"Rhodes"
"Aegean"
"nan"
"Aegean via Cosa"
"Aegean."
"Aegean/N. Africa/Propontis"
"Proconnesus"
"Greece"
""
"Samos"
"Egypt? Datça Peninsula"
"Palestine/Rhodes"
"Cnidus"
"Eastern Cilicia"
"Thessaly, Proconnesus"
"Black Sea"
"South coast Black Sea"
"Corinth"
"Athens"
"Italy"
"Adriatic"
"Carystos"
"Italy via Crete and Rhodes"
"Thasos"
"Alex/ Pergamum/ Aegean"
"Assos"
"Luna"
"Paros"
"Aegean, Italy"
"Cos, Crete, Italy"
"Aegean via southern Italy"
"Egypt? Luna"
"Aegean and lastly Cyprus."
"Pamphylia"
"Aegean and Italy"
"Tripolitania (?)"
"Athens via Delos"
"General Mediterranean"
"Crete"
"Palestine? Cilicia,  Aegean"
"Palestine and elsewhere (?)"
"Aegean/Africa"
"Cosa"
"Egypt? W. Med."
"Tarraconensis"
"Egypt and Crete via Campania"
"Chemtou, Tunisia"
"Euboea/ Aegean"
"Thessaly/ Euboea"
"Asia"
"Spain, Aegean, Adriatic"
"Cos, Rhodes"
"Cos, Rhodes, Athens"
"Euboea"
"Aegean? Tripolitania? Italy"
"Teos, Naxos, Rome"
"Carthage? Aegean"
"Rhodes, Cos"
"Egypt, Aegean, Campania"
"Southern Italy"
"Greece? Southern Italy"
"Greece? Italy"
"Thasos/Asia Minor"
"North Africa "
"Docimium/ Proconnesus"
"Asia Minor"
"Spain - central/southern Italy"
"Spain"
"Cadiz"
"Crimea"
"Baetica"
"North Africa"
"Baetulo/Iluro, Spain"
"Near East"
"South of France"
"Llobregat, Spain"
"Lusitania- Baetica"
"Attica? Euboea"
"Llobregat and Maresme, Spain"
"Lllobregat, Spain"
"Neapolis (Nabeul) North Africa"
"Syria"
"Maresme, Spain"
"Northern Italy"
"Carthage"
"Cartagena, Spain"
"Sicily"
"El Rosa, Calella, Spain"
"Marseille"
"Marseilles"
"Barcino, Spain"
"Carthage -Spain-Sicily/Sardinia"
"Apulia - Campania"
"Baetica - Tarraconensis - Gaul"
"Syria/Palestine via Ugarit"
"Baetica - Narbonne"
"Adriatic via Africa, Spain, France"
"Northeast Mediterranean"
"Southern Cyprus"
"Phoenicia"
"Egypt/ Cyprus"
"Etruria"
"Lusitania"
"Campania"
"Narbonne, France"
"Argens"
"Southeast Aegean"
"Cyprus"
"Northern Levant"
"Ganos"
"Eastern Mediterranean"
"Chios"
"Elba"
"Adriatic - Brindisi - Campania"
"Athens, then Mende, then Peparethos"
"Africa"
"Sardinia"
"Eastern Crete"
"Herakleia Pontica"
"Constantinople"
"Barcino/ Baetulo, Spain"
"Southern Spain via Marseilles"
"Southern Levant or Cyprus"
"central western Italy"
"Islamic Maghreb"
"Islamic Mahgreb"
"Place of destination"
"Northern Italy"
"nan"
"northern Italy"
"France"
"Rome"
"Sicily/Rome"
"Claros, Turkey"
""
"Aegean? Rome"
"Black Sea"
"Italy"
"Pergamum"
"Aegean"
"Levant"
"Caesarea"
"Caesarea Maritima"
"Alexandria"
"North Africa"
"India"
"France/Spain"
"South of France"
"Inland France"
"France, Spain"
"Cyprus/ Levant"
"Cyprus/Levant"
"Brega, for trans shipment (?)"
"French coast, Pyrenées"
"South west France? Inland France"
"Sicily"
"Sicily/North Africa"
"Gaul"
"Rome/France/ Spain"
"Rome/France/            Spain"
"Northern  Italy"
"Aquileia "
"Adriatic/ further east"
"Argolic Gulf"
"Marseilles"
"Cassis"
"Spain/ France"
"a palace in the Aegean"
"Pisa"
"Egypt"
"Montpellier"
"Marseillles"
"Cavalaire, South of France"
"Palestine"
"Israel, Egypt"
"Gaul, Spain"
"Ikos"
"Constantinople"
"Crete"
"Cyprus"
"Tera"
"Apollonia"
"Anhialo"
"Mesembria"
"Odessos"
"Bizone"
"Southern Levant or Cyprus"
